Time_(s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
2.00004,0.14586727,-0.00466873,-0.06613606,0.0416741,0,9,
2.033374,0.14642854,-0.009101987,-0.068137065,0.037269894,0,9,
2.066708,0.14788373,-0.011498041,-0.0705443,0.033175386,0,9,
2.100042,0.15132299,-0.012343725,-0.07359223,0.029500278,0,9,
2.133376,0.1613441,-0.012157093,-0.07256342,0.026293062,0,9,
2.16671,0.16958557,-0.011364998,-0.074068524,0.02354328,0,9,
2.200044,0.17305419,-0.010289536,-0.07880397,0.021233615,0,9,
2.233378,0.17463186,-0.00915907,-0.08413051,0.019340048,0,9,
2.266712,0.1752286,-0.008110508,-0.089167155,0.017817259,0,9,
2.300046,0.17511569,-0.00719727,-0.093204625,0.016604329,0,9,
2.33338,0.17412862,-0.006418638,-0.09519364,0.015643751,0,9,
2.366714,0.1714677,-0.0057563,-0.09286715,0.014889604,0,9,
2.400048,0.16511858,-0.005195004,-0.08194228,0.014299983,0,9,
2.433382,0.15116253,-0.004721599,-0.056670863,0.013830089,0,9,
2.466716,0.12606047,-0.004309545,-0.019137114,0.013432127,0,9,
2.50005,0.09903992,-0.003907266,0.002723496,0.013051286,0,1,
2.533384,0.08876751,-0.003447347,0.003900615,0.012619377,0,1,
2.566718,0.09505702,-0.002878606,0.004811706,0.012061968,0,1,
2.600052,0.10164055,-0.002219264,0.00295093,0.01134502,0,1,
2.633386,0.102104105,-0.001664987,0.002020843,0.010618534,0,1,
2.66672,0.09328713,-0.001351095,0.000531448,0.010014636,0,1,
2.700054,0.07392913,-0.001227147,0.000593977,0.009524412,0,1,
2.733388,0.042830065,-0.001249305,0.002238954,0.009164522,0,1,
2.766722,0.006704029,-0.001375175,0.001965761,0.008949471,0,0,
2.800056,-0.00155451,-0.001550531,0.001540356,0.00885994,0,0,
2.83339,-0.002480986,-0.001729092,0.00088081,0.008852761,0,0,
2.866724,-0.002601595,-0.001890009,0.001270676,0.008887739,0,0,
2.900058,-0.002305198,-0.002032344,0.001777001,0.008941758,0,0,
2.933392,-0.001758208,-0.00216176,0.002785804,0.009010918,0,0,
2.966726,-0.00138492,-0.002281118,0.005019378,0.009103378,0,0,
3.00006,-0.001939525,-0.00239079,0.008615014,0.009228792,0,0,
3.033394,-0.001961802,-0.00249386,0.010655254,0.009379723,0,0,
3.066728,-0.00100892,-0.002585174,0.011856023,0.009526521,0,0,
3.100062,0.000922285,-0.002671615,0.013037905,0.009684562,0,0,
3.133396,0.005051234,-0.00278163,0.014770739,0.009909649,0,0,
3.16673,0.017757492,-0.002947627,0.019408433,0.0102701,0,1,
3.200064,0.055061243,-0.003132683,0.02849782,0.010853081,0,1,
3.233398,0.12229322,-0.002936004,0.037767425,0.011702097,0,5,
3.266732,0.14942093,-0.000888206,0.045412276,0.012857772,0,5,
3.300066,0.16371176,0.006033436,0.047762122,0.016740205,0,5,
3.3334,0.17588446,0.026249796,0.04878665,0.03056022,0,1,
3.366734,0.185306,0.090628885,0.04865605,0.060829803,0,1,
3.400068,0.19294432,0.15225053,0.04632483,0.07899502,0,9,
3.433402,0.1983107,0.14596465,0.042514507,0.0904924,0,9,
3.466736,0.20257254,0.12514918,0.03717251,0.09984507,0,9,
3.50007,0.20622455,0.14032713,0.03034398,0.093585715,0,9,
3.533404,0.20741977,0.14173567,0.024975592,0.10304687,0,9,
3.566738,0.20740724,0.14704336,0.019311612,0.102880076,0,9,
3.600072,0.20579357,0.14464714,0.013131252,0.10692924,0,9,
3.633406,0.20287268,0.13979101,0.007562443,0.10684743,0,9,
