Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
2.00004,-0.003073049,-0.001820533,0.000990671,0.000212039,0,0,
2.033374,-0.002629445,-0.002005686,0.002327791,4.29E-06,0,0,
2.066708,-0.002058458,-0.002221443,0.004066729,-0.000344805,0,0,
2.100042,-0.001269671,-0.002485147,0.006298371,-0.000814789,0,0,
2.133376,-0.00013312,-0.002780453,0.009143214,-0.001411846,0,0,
2.16671,0.001636649,-0.003068009,0.012471065,-0.002080673,0,0,
2.200044,0.003949572,-0.003234084,0.015646262,-0.002866726,0,0,
2.233378,0.005747199,-0.003401609,0.016683482,-0.00366715,0,4,
2.266712,0.004686391,-0.003466144,0.013035536,-0.004461979,0,0,
2.300046,0.001085463,-0.003420287,0.005688371,-0.005156119,0,0,
2.33338,-0.001723459,-0.003180266,-0.000846735,-0.005736926,0,0,
2.366714,-0.002836164,-0.002820089,-0.004348496,-0.006106535,0,0,
2.400048,-0.003274247,-0.002255283,-0.005798342,-0.006276706,0,0,
2.433382,-0.003537629,-0.001551336,-0.006267619,-0.006220846,0,0,
2.466716,-0.003781166,-0.000654742,-0.00627629,-0.005932184,0,0,
2.50005,-0.004002226,0.000362981,-0.005956954,-0.005430174,0,0,
2.533384,-0.003965651,0.001414957,-0.005546882,-0.004730821,0,0,
2.566718,-0.003743981,0.002549359,-0.005020155,-0.003847988,0,0,
2.600052,-0.003298334,0.003669353,-0.004457877,-0.002635669,0,0,
2.633386,-0.00268066,0.004894675,-0.00381826,-0.000968431,0,0,
2.66672,-0.002101459,0.006340906,-0.003028465,0.001293394,0,0,
2.700054,-0.001576784,0.008030171,-0.002118175,0.00433419,0,0,
2.733388,-0.001204203,0.009989134,-0.001072164,0.008306943,0,0,
2.766722,-0.001003317,0.012419817,0.000224084,0.013312005,0,0,
2.800056,-0.001101892,0.015348102,0.001603025,0.019480148,0,0,
2.83339,-0.001385636,0.0189171,0.002891891,0.026848529,0,10,
2.866724,-0.001659693,0.023256479,0.003837047,0.035336178,0,10,
2.900058,-0.001696227,0.028262857,0.004863565,0.04468327,0,10,
2.933392,-0.001701748,0.03367337,0.006042752,0.05421627,0,10,
2.966726,-0.001422389,0.039053455,0.008219198,0.063187845,0,10,
3.00006,-0.000599362,0.043817442,0.012782999,0.07091547,0,10,
3.033394,0.00244617,0.04877185,0.023984112,0.07785503,0,10,
3.066728,0.02793033,0.055009898,0.0615998,0.08438703,0,10,
3.100062,0.09679175,0.0626102,0.095921665,0.09023348,0,1,
3.133396,0.12482213,0.07338189,0.101250984,0.09629094,0,1,
3.16673,0.1361111,0.088025,0.10221888,0.102243274,0,1,
3.200064,0.14372163,0.10326353,0.10214285,0.10697173,0,1,
3.233398,0.15230536,0.11619134,0.10183244,0.110452674,0,1,
3.266732,0.16526109,0.1257854,0.100674085,0.11274833,0,1,
3.300066,0.18327422,0.1323393,0.096975155,0.113978826,0,1,
3.3334,0.20268098,0.13685136,0.0906592,0.114388935,0,9,
3.366734,0.22010893,0.14025496,0.083323404,0.11399,0,9,
3.400068,0.23370136,0.14302646,0.07570735,0.11287782,0,9,
3.433402,0.24310207,0.1456351,0.06768814,0.111321345,0,9,
3.466736,0.24901481,0.14816278,0.059080206,0.10956842,0,9,
3.50007,0.25227255,0.1508572,0.04966675,0.10786421,0,9,
3.533404,0.2532881,0.1537925,0.039096024,0.10658565,0,9,
3.566738,0.25206164,0.1570911,0.026907098,0.10597132,0,9,
3.600072,0.24848509,0.1606226,0.012780506,0.10601798,0,9,
3.633406,0.24245682,0.16407834,-0.002666533,0.10649932,0,9,
3.66674,0.23421648,0.16728118,-0.017428901,0.107261084,0,9,
3.700074,0.22361492,0.17011546,-0.02910146,0.1081183,0,9,
3.733408,0.20969065,0.17290768,-0.03619024,0.10900716,0,9,
3.766742,0.18965746,0.17596862,-0.037614882,0.10981841,0,8,
3.800076,0.15900189,0.17914827,-0.032321427,0.11062471,0,10,
3.83341,0.11766035,0.18224151,-0.02147248,0.11131963,0,10,
3.866744,0.0774106,0.18510655,-0.01038453,0.112034984,0,10,
3.900078,0.04987186,0.18768483,-0.002976742,0.112738624,0,10,
3.933412,0.03451052,0.18990915,0.001536991,0.11334516,0,10,
3.966746,0.026727233,0.19168429,0.004531348,0.11393207,0,10,
4.00008,0.022713827,0.1930183,0.00693645,0.11443659,0,10,
4.033414,0.020736974,0.19410019,0.009052197,0.1148094,0,10,
4.066748,0.019692492,0.19512479,0.011073167,0.11501944,0,10,
4.100082,0.01883651,0.19617215,0.013043041,0.11497043,0,10,
4.133416,0.017480025,0.19712387,0.014266896,0.11467853,0,10,
