Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
2.00004,0.231710305,0.233057015,0.006092515,0.005396907,0,0,"이번 세트에 11 회를 했습니다.운동주기는 약1.0초 입니다운동주기가 일정합니다.
"
2.033374,0.231711852,0.233097492,0.005484129,0.005171221,0,0,
2.066708,0.231719683,0.23322435,0.004783096,0.005410626,0,0,
2.100042,0.23175096,0.233533365,0.003818565,0.005837347,0,0,
2.133376,0.231848986,0.234108586,0.002538712,0.006203799,0,0,
2.16671,0.232087769,0.234899131,0.001052591,0.006370495,0,0,
2.200044,0.232532255,0.235632872,-0.000403899,0.006324251,0,0,
2.233378,0.233143129,0.235937072,-0.001557399,0.006143772,0,0,
2.266712,0.233710157,0.235632968,-0.002197113,0.00594086,0,0,
2.300046,0.233945727,0.234900114,-0.002242037,0.005808759,0,0,
2.33338,0.233714837,0.234116593,-0.001750338,0.005798027,0,0,
2.366714,0.233174689,0.233585142,-0.000872807,0.005922788,0,0,
2.400048,0.23269997,0.233488937,0.000221443,0.00618439,0,0,
2.433382,0.232793523,0.234157205,0.00140851,0.006592903,0,0,
2.466716,0.234172782,0.236336858,0.0026367,0.007172721,0,0,
2.50005,0.237604761,0.240694226,0.003915294,0.007951223,0,0,
2.533384,0.242518636,0.245822578,0.005281323,0.008940021,0,0,
2.566718,0.244958884,0.246649282,0.006765192,0.010121504,0,0,
2.600052,0.23966357,0.238932797,0.008370091,0.01144774,0,0,
2.633386,0.229599735,0.229492251,0.010069055,0.01284959,0,0,
2.66672,0.229402415,0.233660029,0.011814439,0.014249544,0,0,
2.700054,0.243969218,0.249327437,0.013551966,0.015573347,0,0,
2.733388,0.251052188,0.250206536,0.015231108,0.016757423,0,0,
2.766722,0.237238514,0.232520651,0.016802143,0.017747949,0,0,
2.800056,0.228879315,0.230965984,0.018194452,0.018486293,0,0,
2.83339,0.237357835,0.247575774,0.019284119,0.018882046,0,0,
2.866724,0.233159268,0.241540516,0.019872563,0.01878901,0,0,
2.900058,0.221053294,0.222205649,0.019697194,0.018003828,0,0,
2.933392,0.2339754,0.232788958,0.018478458,0.016292283,0,0,
2.966726,0.250195509,0.253637881,0.015992788,0.013437865,0,0,
3.00006,0.239826368,0.248031799,0.01215534,0.009311127,0,0,
3.033394,0.231103733,0.235947004,0.007082924,0.003946136,0,0,
3.066728,0.243339153,0.239160569,0.001091098,-0.00242154,0,0,
3.100062,0.249760951,0.24320361,-0.005401014,-0.009402438,0,0,
3.133396,0.239549546,0.240256447,-0.012022488,-0.016578981,0,0,
3.16673,0.234347365,0.240253122,-0.018571554,-0.023636689,0,0,
3.200064,0.243385469,0.244705886,-0.025030947,-0.030420715,0,0,
3.233398,0.253021409,0.246163886,-0.031475171,-0.036898316,0,0,
3.266732,0.25293146,0.242628475,-0.037942081,-0.043073785,0,0,
3.300066,0.246629067,0.237904577,-0.044360998,-0.048922517,0,0,
3.3334,0.241109479,0.234841652,-0.050582268,-0.054389578,0,0,
3.366734,0.238650327,0.233544269,-0.056476892,-0.059450838,0,0,
3.400068,0.237784409,0.23315109,-0.062023757,-0.064180836,0,0,
3.433402,0.236851646,0.233062171,-0.067311504,-0.068756598,0,0,
3.466736,0.235528304,0.233046811,-0.072449892,-0.073376602,0,0,
3.50007,0.23440704,0.233044756,-0.077460802,-0.078146021,0,0,
3.533404,0.234065791,0.233044541,-0.082235295,-0.083008655,0,0,
3.566738,0.234532609,0.233044523,-0.086587656,-0.087773025,0,0,
3.600072,0.235308533,0.233044522,-0.090362877,-0.092213133,0,0,
3.633406,0.235777484,0.233044523,-0.093519817,-0.096172967,0,0,
3.66674,0.235702086,0.233044533,-0.096139083,-0.099609605,0,0,
3.700074,0.235371779,0.233044612,-0.098366169,-0.102566251,0,0,
3.733408,0.235212022,0.233045132,-0.100343232,-0.105118221,0,0,
3.766742,0.235276145,0.233047835,-0.102174053,-0.107336597,0,0,
3.800076,0.235216837,0.233059129,-0.103923508,-0.109277893,0,0,
3.83341,0.23473962,0.23309715,-0.105622018,-0.110980985,0,0,
3.866744,0.233966152,0.233200892,-0.107254817,-0.112457958,0,0,
3.900078,0.233325387,0.233432306,-0.108748316,-0.113685269,0,0,
3.933412,0.233178094,0.233858813,-0.109980606,-0.114609632,0,0,
3.966746,0.233566801,0.234514574,-0.110822998,-0.115173596,0,0,
4.00008,0.234234552,0.235356999,-0.111189697,-0.11534979,0,0,
4.033414,0.234837907,0.23624195,-0.111067965,-0.115165037,0,0,
4.066748,0.235191469,0.236940181,-0.110519536,-0.114702109,0,0,
4.100082,0.23535393,0.237217795,-0.109658913,-0.114079411,0,0,
4.133416,0.235503062,0.236972839,-0.108617186,-0.113417097,0,0,
4.16675,0.235742585,0.236335096,-0.107502091,-0.112802449,0,0,
4.200084,0.235994555,0.235602744,-0.106368884,-0.112268347,0,0,
4.233418,0.236043794,0.235045412,-0.105211981,-0.111791552,0,0,
