Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
1,0,-0.03,-0.41,0,0,0,9.4
2,0.035,-0.05,-0.56,0,0.02,0,9.25
3,0.068,-0.08,-0.51,0,0.08,0,9.3
4,0.101,-0.09,-0.04,-0.01,0.05,0,9.77
5,0.135,-0.08,0.35,-0.01,0.3,0,10.16
6,0.168,-0.06,0.46,-0.01,0.49,0,10.27
7,0.201,-0.05,0.3,-0.01,0.65,0,10.11
8,0.234,-0.04,0.13,-0.02,0.9,0,9.94
9,0.268,-0.05,0.16,-0.02,1.23,0,9.97
10,0.301,-0.03,0.23,-0.02,1.56,0,10.04
11,0.334,-0.02,0.12,-0.02,1.79,0,9.93
12,0.368,-0.03,0,-0.02,1.99,0,9.81
13,0.401,-0.03,0.11,-0.02,2.1,0,9.92
14,0.434,-0.02,0.25,-0.02,2.28,0,10.06
15,0.468,-0.01,0.16,-0.02,2.51,0,9.97
16,0.501,-0.01,-0.02,-0.02,2.76,0,9.79
17,0.534,-0.01,-0.05,-0.02,2.93,0,9.76
18,0.567,-0.01,-0.02,-0.02,3.12,0,9.79
19,0.601,-0.01,-0.14,-0.02,3.29,0,9.67
20,0.634,-0.02,-0.31,-0.02,3.47,0,9.5
21,0.667,-0.04,-0.24,-0.03,3.63,0,9.57
22,0.701,-0.04,-0.02,-0.03,3.78,0,9.79
23,0.734,-0.03,0.02,-0.03,3.88,0,9.83
24,0.767,-0.03,-0.15,-0.03,3.92,0,9.66
25,0.801,-0.04,-0.25,-0.03,3.91,0,9.56
26,0.834,-0.05,-0.12,-0.03,3.9,0,9.69
27,0.867,-0.05,0.16,-0.03,3.87,0,9.97
28,0.901,-0.04,0.38,-0.04,3.79,0,10.19
29,0.934,-0.03,0.4,-0.04,3.68,0,10.21
30,0.967,-0.01,0.24,-0.04,3.65,0,10.05
31,1,-0.01,0.06,-0.04,3.67,0,9.87
32,1.034,-0.01,0,-0.04,3.72,0,9.81
33,1.067,-0.01,0.08,-0.04,3.86,0,9.89
34,1.1,-0.01,0.14,-0.04,4.07,0,9.95
35,1.134,0,0.08,-0.04,4.22,0.01,9.89
36,1.167,0,-0.01,-0.04,4.25,0,9.8
37,1.2,0,-0.04,-0.04,4.32,0,9.77
38,1.234,0,-0.04,-0.04,4.46,0,9.77
39,1.267,-0.01,0.03,-0.04,4.61,0,9.84
40,1.3,0,0.17,-0.04,4.63,0,9.98
41,1.334,0.01,0.24,-0.04,4.6,0.07,10.05
42,1.367,0.02,0.18,-0.04,4.61,0.16,9.99
43,1.4,0.02,0.16,-0.04,4.65,0.17,9.97
44,1.433,0.02,0.22,-0.04,4.64,0.23,10.03
45,1.467,0.04,0.13,-0.04,4.6,0.35,9.94
46,1.5,0.04,-0.14,-0.04,4.63,0.36,9.67
47,1.533,0.02,-0.32,-0.03,4.67,0.23,9.49
48,1.567,0.01,-0.21,-0.03,4.78,0.09,9.6
49,1.6,0.01,0.09,-0.03,4.86,0.06,9.9
50,1.633,0.02,0.27,-0.03,4.88,0.18,10.08
51,1.667,0.03,0.2,-0.03,4.82,0.31,10.01
52,1.7,0.03,-0.04,-0.03,4.85,0.33,9.77
53,1.733,0.03,-0.26,-0.03,4.96,0.25,9.55
54,1.767,0.01,-0.36,-0.03,5.08,0.14,9.45
55,1.8,0,-0.29,-0.03,5.12,0,9.52
56,1.833,-0.01,-0.02,-0.03,5.08,0,9.79
57,1.866,0,0.35,-0.03,5.01,0,10.16
58,1.9,0.02,0.61,-0.03,4.92,0.18,10.42
59,1.933,0.04,0.66,-0.03,4.77,0.44,10.47
60,1.966,0.06,0.65,-0.03,4.57,0.66,10.46
61,2,0.08,0.81,-0.02,0,0.87,10.62
62,2.033,0.11,1.19,-0.02,0.39,1.22,11
63,2.066,0.16,1.61,-0.02,0.87,1.82,11.42
64,2.1,0.22,1.96,-0.01,1.33,2.62,11.77
65,2.133,0.29,2.36,0,2,3.54,12.17
66,2.166,0.37,2.92,0.01,2.96,4.73,12.73
67,2.199,0.49,2.97,0.02,4.15,6.24,12.78
68,2.233,0.6,1.83,0.04,5.87,6.99,11.64
69,2.266,0.63,0.26,0.06,7.85,6.3,10.07
70,2.299,0.59,-0.11,0.08,9.58,5.68,9.7
71,2.333,0.59,0.71,0.1,11.14,6.18,10.52
72,2.366,0.65,1.15,0.12,12.72,7.09,10.96
73,2.399,0.69,0.47,0.14,13.99,7.11,10.28
74,2.433,0.68,-0.54,0.17,14.93,6.33,9.27
75,2.466,0.64,-0.91,0.19,15.55,5.69,8.9
76,2.499,0.61,-0.64,0.21,15.76,5.57,9.17
77,2.533,0.6,-0.46,0.23,15.85,5.62,9.35
78,2.566,0.59,-0.76,0.25,15.86,5.33,9.05
79,2.599,0.55,-1.33,0.27,15.71,4.7,8.48
80,2.632,0.5,-1.87,0.29,15.51,3.96,7.94
81,2.666,0.43,-2.28,0.3,15.57,3.22,7.53
82,2.699,0.34,-2.48,0.32,15.75,2.52,7.33
83,2.732,0.26,-2.38,0.33,15.7,1.91,7.43
84,2.766,0.18,-2.07,0.33,15.43,1.4,7.74
85,2.799,0.12,-1.76,0.34,15.33,0.96,8.05
86,2.832,0.07,-1.44,0.34,15.44,0.55,8.37
87,2.866,0.02,-0.98,0.34,15.65,0.17,8.83
88,2.899,0,-0.37,0.34,15.92,0,9.44
89,2.932,0,0.15,0.34,16.3,0,9.96
90,2.966,0.01,0.22,0.34,16.68,0.14,10.03
91,2.999,0.02,-0.18,0.34,17.14,0.21,9.63
92,3.032,0,-0.62,0.34,17.69,0.02,9.19
93,3.065,-0.03,-0.65,0.34,18.28,0,9.16
94,3.099,-0.05,-0.44,0.34,18.88,0,9.37
95,3.132,-0.05,-0.31,0.34,19.27,0,9.5
96,3.165,-0.07,-0.21,0.34,19.31,0,9.6
97,3.199,-0.07,0.16,0.34,19.12,0,9.97
98,3.232,-0.06,0.69,0.33,19,0,10.5
99,3.265,-0.02,0.85,0.33,19.01,0,10.66
100,3.299,0.01,0.33,0.33,18.92,0.12,10.14
101,3.332,0.01,-0.58,0.33,18.69,0.08,9.23
102,3.365,-0.03,-1.27,0.33,18.53,0,8.54
103,3.399,-0.09,-1.31,0.33,18.53,0,8.5
104,3.432,-0.13,-0.68,0.33,0,0,9.13
105,3.465,-0.14,0.19,0.32,0.25,0,10
106,3.498,-0.11,0.8,0.32,0.61,0,10.61
107,3.532,-0.08,1.01,0.31,1,0,10.82
108,3.565,-0.04,0.96,0.31,1.49,0,10.77
109,3.598,-0.01,0.64,0.31,1.98,0,10.45
110,3.632,0.01,-0.01,0.31,2.5,0.07,9.8
111,3.665,-0.01,-0.79,0.31,3.26,0,9.02
112,3.698,-0.05,-1.43,0.31,4.14,0,8.38
113,3.732,-0.11,-1.71,0.31,4.95,0,8.1
114,3.765,-0.17,-1.52,0.3,5.67,0,8.29
115,3.798,-0.21,-1.18,0.3,6.4,0,8.63
116,3.832,-0.24,-0.95,0.29,7.06,0,8.86
117,3.865,-0.28,-0.62,0.28,7.76,0,9.19
118,3.898,-0.29,-0.11,0.27,8.52,0,9.7
119,3.931,-0.28,0.16,0.26,9.17,0,9.97
120,3.965,-0.27,-0.05,0.25,9.76,0,9.76
121,3.998,-0.28,-0.3,0.24,10.49,0,9.51
122,4.031,-0.3,-0.04,0.23,11.19,0,9.77
123,4.065,-0.3,0.66,0.22,11.62,0,10.47
124,4.098,-0.25,1.19,0.21,12.03,0,11
125,4.131,-0.2,1.13,0.21,12.63,0,10.94
126,4.165,-0.17,0.69,0.2,13.12,0,10.5
127,4.198,-0.16,0.36,0.19,13.35,0,10.17
128,4.231,-0.16,0.43,0.19,13.48,0,10.24
129,4.264,-0.14,0.8,0.18,13.78,0,10.61
130,4.298,-0.1,1.03,0.18,13.96,0,10.84
131,4.331,-0.06,0.87,0.18,13.92,0,10.68
132,4.364,-0.04,0.6,0.18,13.82,0,10.41
133,4.398,-0.03,0.55,0.18,13.89,0,10.36
134,4.431,-0.01,0.58,0.17,13.98,0,10.39
135,4.464,0.02,0.43,0.17,13.94,0.18,10.24
136,4.498,0.03,0.15,0.18,13.87,0.26,9.96
137,4.531,0.02,0.05,0.18,13.89,0.23,9.86
138,4.564,0.02,0.18,0.18,14.07,0.24,9.99
139,4.598,0.03,0.41,0.18,14.27,0.34,10.22
140,4.631,0.05,0.54,0.18,14.41,0.55,10.35
141,4.664,0.08,0.4,0.18,14.51,0.77,10.21
142,4.697,0.08,0.06,0.18,14.65,0.84,9.87
143,4.731,0.08,-0.24,0.19,14.73,0.74,9.57
144,4.764,0.07,-0.43,0.19,14.89,0.61,9.38
145,4.797,0.05,-0.65,0.19,15.15,0.46,9.16
146,4.831,0.02,-0.87,0.19,15.47,0.21,8.94
147,4.864,-0.01,-0.86,0.19,15.69,0,8.95
148,4.897,-0.04,-0.53,0.19,15.82,0,9.28
149,4.931,-0.05,-0.08,0.19,15.92,0,9.73
150,4.964,-0.04,0.21,0.19,16.15,0,10.02
151,4.997,-0.03,0.09,0.19,16.46,0,9.9
152,5.031,-0.03,-0.37,0.19,16.81,0,9.44
153,5.064,-0.05,-0.86,0.19,17.12,0,8.95
154,5.097,-0.09,-1.1,0.18,0,0,8.71
